CCDC59,up,DUSP19,up,HECA,up,MDH2,up,POM121C,up,SPI1,up,WNK1,up,DBF4,down,GTPBP2,down,MTAP,down,REN,down,UBOX5,down
CCDC6,up,DUSP22,up,HECTD1,up,ME2,up,POMP,up,SPINT2,up,WSB2,up,DBN1,down,GXYLT1,down,MTMR7,down,RFT1,down,UBQLN3,down
CCDC69,up,DUSP3,up,HERC1,up,MED10,up,POTEE,up,SPOCK2,up,WTAP,up,DCN,down,GYPA,down,MUCL1,down,RFTN2,down,UCK2,down
CCDC88C,up,DUSP5,up,HERPUD1,up,METAP2,up,POTEF,up,SPOP,up,XAF1,up,DCST2,down,GYS2,down,MVK,down,RFX4,down,UCP1,down
CCL5,up,DUSP6,up,HERPUD2,up,METRNL,up,PPA2,up,SPOPL,up,XBP1,up,DCT,down,GZF1,down,MXRA7,down,RFX6,down,UEVLD,down
CCM2,up,DYNLL1,up,HEXB,up,METTL5,up,PPBP,up,SPPL2A,up,XPNPEP1,up,DDIT4L,down,HAR1B,down,MYBPH,down,RGR,down,ULBP3,down
CCND3,up,DYNLT1,up,HGS,up,METTL7A,up,PPDPF,up,SPSB3,up,XPNPEP3,up,DDR1,down,HAS3,down,MYCNOS,down,RGS17,down,UNC45B,down
CCNDBP1,up,DYRK1A,up,HHEX,up,MEX3C,up,PPM1M,up,SPTAN1,up,XRCC2,up,DDX11,down,HAUS8,down,MYH7B,down,RHBDD1,down,UNC5D,down
CCNI,up,DYSF,up,HIF1A,up,MFNG,up,PPP1CC,up,SPTLC1,up,YBX1,up,DDX20,down,HAX1,down,MYL4,down,RHBDF1,down,UNC93A,down
CCNK,up,E2F3,up,HIGD1A,up,MFSD11,up,PPP1R11,up,SQSTM1,up,YIPF1,up,DDX46,down,HCG26,down,MYL9,down,RHD,down,UPK3B,down
CCNL1,up,E2F4,up,HIGD2A,up,MGAT4A,up,PPP1R14B,up,SRGN,up,YIPF3,up,DDX60L,down,HCG9,down,MYO1D,down,RHO,down,UROC1,down
CCNY,up,EAF1,up,HINT1,up,MGST3,up,PPP1R15A,up,SRRM1,up,YPEL3,up,DECR2,down,HCN3,down,MYO1E,down,RHOBTB3,down,USP29,down
CCR6,up,EAPP,up,HIPK2,up,MIDN,up,PPP1R16B,up,SRRM2,up,YRDC,up,DEPDC5,down,HCRTR1,down,MYO7B,down,RHOF,down,UTF1,down
CCR7,up,EBNA1BP2,up,HLA-DMA,up,MIS12,up,PPP1R2,up,SSH2,up,YWHAB,up,DGKH,down,HCRTR2,down,MYOZ3,down,RHOJ,down,UXS1,down
CCT7,up,ECHDC2,up,HLA-DMB,up,MKRN1,up,PPP2CA,up,SSR2,up,YY1,up,DHRS13,down,HDAC11,down,N6AMT1,down,RIC3,down,VCAM1,down
CCT8,up,EDF1,up,HLA-DPA1,up,MKRN2,up,PPP2R1A,up,SSTR2,up,ZBP1,up,DHRS9,down,HDAC9,down,NAB1,down,RIN3,down,VDAC2,down
CD14,up,EEF1G,up,HLA-DQA1,up,MLLT6,up,PPP2R5E,up,SSU72,up,ZBTB4,up,DIXDC1,down,HEATR4,down,NAE1,down,RNASE13,down,VEPH1,down
CD160,up,EEF2,up,HLA-E,up,MMD,up,PPP3R1,up,ST13,up,ZBTB40,up,DLX5,down,HES2,down,NALCN,down,RNASEH2C,down,VGLL3,down
CD164,up,EFHD2,up,HLA-G,up,MNDA,up,PPP4R1,up,ST6GAL1,up,ZBTB43,up,DMRTB1,down,HESX1,down,NANP,down,RND3,down,VIL1,down
CD2,up,EFTUD2,up,HLA-H,up,MNT,up,PPT1,up,STARD7,up,ZC3H15,up,DNAI1,down,HGF,down,NAPEPLD,down,RNF113B,down,VILL,down
CD27,up,EGR1,up,HMG20B,up,MOAP1,up,PRAM1,up,STAT6,up,ZC3H7A,up,DNAI2,down,HHATL,down,NBPF15,down,RNF180,down,VIP,down
CD300A,up,EHBP1L1,up,HMGB2,up,MORF4L1,up,PRDM4,up,STK38,up,ZC3HAV1,up,DNAJC5B,down,HIGD1B,down,NCCRP1,down,RNF43,down,VIT,down
